ChangeN,ChangeC,PB,Tmax,Tmin,Tave,Crop,WPCT,WPNT,FCT,FNT,RCT,RNT,SCCT,SCNT,IrrigationCT,IrrigationNT,ST,Latitude,Longitude,NTyear
-0.145428366,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,0,0,0,0,0,0,1,1,4,30.9,75.8,4
-0.057418577,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,4
-0.0175,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,4
-0.033921614,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,4
-0.070804196,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,0,0,0,0,0,0,1,1,4,30.9,75.8,4
-0.068298368,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,4
-0.010691538,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,4
-0.018344416,0,-415.5243549,40.27970246,7.68780173,26.73333359,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,4
0.053441296,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,0,0,0,0,0,0,1,1,4,30.9,75.8,1
0.215977175,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,1
0.189399844,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,1
0.087301587,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,1
-0.088082902,0,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,0,0,0,0,0,1,1,1,4,30.9,75.8,1
0.037188873,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,1
0.070360825,1,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,1
-0.050441362,0,-386.4121476,39.83815839,4.642376807,26.36666648,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,1
0.105691057,1,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,0,0,0,0,0,0,1,1,4,30.9,75.8,2
0.065517241,1,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,2
0.047146402,1,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,2
0.059259259,1,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,0,1,1,4,30.9,75.8,2
-0.120300752,0,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,0,0,0,0,0,1,1,1,4,30.9,75.8,2
-0.01722365,0,-287.0888376,39.39245999,5.029379568,26.13333337,wheat.winter,2,2,1,1,0,0,0,1,1,1,4,30.9,75.8,2
